Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Project Bifrost Phase 1,331,Denmark," Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",T&S,2021,,2030,,Planned,1,2 - 3,3,T&S,Dedicated storage,Project Bifrost,Europe
Project Bison (WY) Phase 1,470,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,,2024,,Planned,1,0.01,0.01,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project Bison (WY) Phase 2,471,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,,2026,,Planned,2,0.2,0.2,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project Bison (WY) Phase 3,472,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,,2028,,Planned,3,0.8,0.8,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project Bison (WY) Phase 4,473,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,,2028,,Planned,4,4,4,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project Blue (AR),257,United States,"Lapis Energy, LSB",Full chain,2022,,2025,,Planned,,0.45,0.45,Hydrogen or ammonia,Dedicated storage,,North America
Project Cavendish Phase 1,332,United Kingdom,"Arup, VPI, National Grid Ventures, Shell, SSE Thermal, Uniper, Acorn
",Capture,2021,2024,2026,,Planned,1,1.2,1.2,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe
Project Cavendish Phase 2,333,United Kingdom,"Arup, VPI, National Grid Ventures, Shell, SSE Thermal, Uniper, Acorn
",Capture,2021,2024,2026,,Planned,2,1.8,1.8,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe
Project Clear Horizon - natural gas fired power plants (ALB),509,Canada, City of Medicine Hat,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,Project Clear Horizon (ALB),North America
Project Clear Horizon (ALB),1126,Canada,City of Medicine Hat,T&S,2022,,,,Planned,,3,3,T&S,Dedicated storage,Project Clear Horizon (ALB),North America
"Project Crossroads (IN, IL, MI)",979,United States,BP Carbon Solutions LLC,T&S,2023,,,,Planned,,23,23,T&S,Dedicated storage,"Project Crossroads (IN, IL, MI)",North America
Project Greensand phase 1,335,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage), Aquaterra Energy (FEED)",T&S,2020,2024,2026,,Planned,1,1.5,1.5,T&S,Dedicated storage,Project Greensand,Europe
Project Greensand phase 2,336,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage)",T&S,2020,,2030,,Planned,2,6.5,6.5,T&S,Dedicated storage,Project Greensand,Europe
Project Hajar,537,Oman,"Mission Zero, 44.01",Full chain,2022,,2024,,Under construction,,0.001,0.001,DAC,Dedicated storage,,Middle East
Project Hummingbird,1077,Kenya,Octavia carbon,Full chain,,,2025,,Planned,1,0.001,0.001,DAC,Dedicated storage,,Africa
Project Interseqt - Hereford Ethanol Plant (TX),337,United States,"White Energy, Oxy low carbon ventures (Occidental)",Full chain,2018,,2024,,Planned,,0.35,0.35,Biofuels,EOR,,North America
Project Interseqt - Plainview Ethanol Plant (TX),338,United States,"White Energy, Oxy low carbon ventures (Occidental)",Full chain,2018,,2024,,Planned,,0.35,0.35,Biofuels,EOR,,North America
Project Lochridge (Gulf of Mexico CCS Partnership Hub) (LA),718,United States,"Carbon Zero (Storage), Cox (field owner), Crescent Midstream (pipeline operator), Repsol",T&S,2022,,2030,,Planned,,,,T&S,Dedicated storage,Project Lochridge (Gulf of Mexico CCS Partnership Hub) (LA),North America
Project OASIS Shelby County (AL),717,United States,Southern States Energy Board,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Project OASIS Shelby County (AL),North America
Project Phoenix ammonia (WY),339,United States,"North Shore Energy, Starwood Energy Group",Full chain,2022,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Project Pouakai Hydrogen Production with CCS,340,New Zealand,"8Rivers, Toshiba, McDermott, Exelon, Oxy low carbon ventures (Occidental)",Full chain,2018,,2024,,Planned,,1,1,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
Project Ruby (Rodby) phase 1,784,Denmark,"CarbonCuts, bluenord (funding)",Storage,2022,2026,2030,,Planned,1,1,1,Storage,Dedicated storage,,Europe
Project Ruby (Rodby) phase 2,785,Denmark,"CarbonCuts, bluenord (funding)",Storage,2022,,,,Planned,2,4 - 9,6.5,Storage,Dedicated storage,,Europe
Project Tellus - CS020 (Area 1),853,United Kingdom,Eni (following acquisition of Neptune Energy) (100%),Storage,2023,2028,2030,,Planned,,4 - 10,10,Storage,Dedicated storage,Cygnus energy hub,Europe
Project Tellus - CS021 (Area 5),854,United Kingdom,"Eni (following acquisition of Neptune Energy) (50%), EEPUKL (50%)",Storage,2023,2029,2033,,Planned,,4 - 6,6,Storage,Dedicated storage,Cygnus energy hub,Europe
Project Tellus - CS022 (Area 7),855,United Kingdom,Eni (following acquisition of Neptune Energy) (100%),Storage,2023,2029,2033,,Planned,,4 - 6,6,Storage,Dedicated storage,Cygnus energy hub,Europe
Project Tundra at Milton R Young Station (ND),341,United States,Minnkota Power Cooperative Inc.,Capture,2018,2024,2028,,Planned,,3.1 - 4,4,Power and heat,Dedicated storage,North Dakota CarbonSAFE (ND),North America
Project WyoTCH pipeline (WY),798,United States,"Carbon Solutions LLC, Enhanced Oil Recovery Institute of University of Wyoming",Transport,2023,,,,Planned,,120,120,Transport,Unknown/unspecified,Wyoming Trails Carbon Hub,North America
